"animal","dam","sire","sex","cohort"
"0_73",NA,NA,"F",0
"0_74",NA,NA,"M",0
"0_75",NA,NA,"F",0
"0_76",NA,NA,"M",0
"0_77",NA,NA,"F",0
"0_78",NA,NA,"M",0
"0_79",NA,NA,"F",0
"0_80",NA,NA,"M",0
"0_81",NA,NA,"F",0
"0_82",NA,NA,"M",0
"0_83",NA,NA,"F",0
"0_84",NA,NA,"M",0
"0_85",NA,NA,"F",0
"0_86",NA,NA,"M",0
"0_87",NA,NA,"F",0
"0_88",NA,NA,"M",0
"0_89",NA,NA,"F",0
"0_90",NA,NA,"M",0
"0_91",NA,NA,"F",0
"0_92",NA,NA,"M",0
"0_93",NA,NA,"F",0
"0_94",NA,NA,"M",0
"0_95",NA,NA,"F",0
"0_96",NA,NA,"M",0
"0_97",NA,NA,"F",0
"0_98",NA,NA,"M",0
"0_99",NA,NA,"F",0
"0_100",NA,NA,"M",0
"1_1","0_1","0_12","M",1
"1_2","0_1","0_12","M",1
"1_3","0_1","0_12","M",1
"1_4","0_1","0_12","F",1
"1_5","0_3","0_48","M",1
"1_6","0_3","0_48","M",1
"1_7","0_3","0_48","M",1
"1_8","0_3","0_48","F",1
"1_9","0_5","0_38","M",1
"1_10","0_5","0_38","F",1
"1_11","0_5","0_38","F",1
"1_12","0_5","0_38","M",1
"1_13","0_7","0_6","M",1
"1_14","0_7","0_6","M",1
"1_15","0_7","0_6","F",1
"1_16","0_7","0_6","M",1
"1_17","0_9","0_24","F",1
"1_18","0_9","0_24","F",1
"1_19","0_9","0_24","F",1
"1_20","0_9","0_24","M",1
"1_21","0_11","0_60","F",1
"1_22","0_11","0_60","M",1
"1_23","0_11","0_60","M",1
"1_24","0_11","0_60","M",1
"1_25","0_13","0_88","M",1
"1_26","0_13","0_88","M",1
"1_27","0_13","0_88","F",1
"1_28","0_13","0_88","M",1
"1_29","0_15","0_74","M",1
"1_30","0_15","0_74","F",1
"1_31","0_15","0_74","M",1
"1_32","0_15","0_74","F",1
"1_33","0_17","0_36","M",1
"1_34","0_17","0_36","M",1
"1_35","0_17","0_36","F",1
"1_36","0_17","0_36","M",1
"1_37","0_19","0_86","F",1
"1_38","0_19","0_86","M",1
"1_39","0_19","0_86","F",1
"1_40","0_19","0_86","F",1
"1_41","0_21","0_70","M",1
"1_42","0_21","0_70","M",1
"1_43","0_21","0_70","M",1
"1_44","0_21","0_70","M",1
"1_45","0_23","0_90","M",1
"1_46","0_23","0_90","M",1
"1_47","0_23","0_90","F",1
"1_48","0_23","0_90","M",1
"1_49","0_25","0_44","M",1
"1_50","0_25","0_44","F",1
"1_51","0_25","0_44","F",1
"1_52","0_25","0_44","F",1
"1_53","0_27","0_32","F",1
"1_54","0_27","0_32","M",1
"1_55","0_27","0_32","M",1
"1_56","0_27","0_32","F",1
"1_57","0_29","0_2","M",1
"1_58","0_29","0_2","M",1
"1_59","0_29","0_2","F",1
"1_60","0_29","0_2","F",1
"1_61","0_31","0_4","M",1
"1_62","0_31","0_4","F",1
"1_63","0_31","0_4","F",1
"1_64","0_31","0_4","F",1
"1_65","0_33","0_80","M",1
"1_66","0_33","0_80","F",1
"1_67","0_33","0_80","F",1
"1_68","0_33","0_80","M",1
"1_69","0_35","0_56","F",1
"1_70","0_35","0_56","F",1
"1_71","0_35","0_56","F",1
"1_72","0_35","0_56","M",1
"1_73","0_37","0_28","F",1
"1_74","0_37","0_28","M",1
"1_75","0_37","0_28","M",1
"1_76","0_37","0_28","M",1
"1_77","0_39","0_52","F",1
"1_78","0_39","0_52","F",1
"1_79","0_39","0_52","M",1
"1_80","0_39","0_52","F",1
"1_81","0_41","0_96","M",1
"1_82","0_41","0_96","M",1
"1_83","0_41","0_96","M",1
"1_84","0_41","0_96","F",1
"1_85","0_43","0_94","F",1
"1_86","0_43","0_94","M",1
"1_87","0_43","0_94","F",1
"1_88","0_43","0_94","F",1
"1_89","0_45","0_76","M",1
"1_90","0_45","0_76","M",1
"1_91","0_45","0_76","F",1
"1_92","0_45","0_76","F",1
"1_93","0_47","0_64","M",1
"1_94","0_47","0_64","F",1
"1_95","0_47","0_64","M",1
"1_96","0_47","0_64","F",1
"1_97","0_49","0_10","F",1
"1_98","0_49","0_10","M",1
"1_99","0_49","0_10","F",1
"1_100","0_49","0_10","M",1
"1_101","0_51","0_50","M",1
"1_102","0_51","0_50","M",1
"1_103","0_51","0_50","F",1
"1_104","0_51","0_50","F",1
"1_105","0_53","0_18","F",1
"1_106","0_53","0_18","M",1
"1_107","0_53","0_18","F",1
"1_108","0_53","0_18","F",1
"1_109","0_55","0_100","M",1
"1_110","0_55","0_100","F",1
"1_111","0_55","0_100","F",1
"1_112","0_55","0_100","F",1
"1_113","0_57","0_22","M",1
"1_114","0_57","0_22","F",1
"1_115","0_57","0_22","F",1
"1_116","0_57","0_22","M",1
"1_117","0_59","0_58","F",1
"1_118","0_59","0_58","M",1
"1_119","0_59","0_58","M",1
"1_120","0_59","0_58","F",1
"1_121","0_61","0_66","M",1
"1_122","0_61","0_66","F",1
"1_123","0_61","0_66","M",1
"1_124","0_61","0_66","F",1
"1_125","0_63","0_34","M",1
"1_126","0_63","0_34","F",1
"1_127","0_63","0_34","M",1
"1_128","0_63","0_34","F",1
"1_129","0_65","0_30","M",1
"1_130","0_65","0_30","F",1
"1_131","0_65","0_30","M",1
"1_132","0_65","0_30","F",1
"1_133","0_67","0_98","M",1
"1_134","0_67","0_98","F",1
"1_135","0_67","0_98","M",1
"1_136","0_67","0_98","F",1
"1_137","0_69","0_82","M",1
"1_138","0_69","0_82","F",1
"1_139","0_69","0_82","M",1
"1_140","0_69","0_82","M",1
"1_141","0_71","0_40","F",1
"1_142","0_71","0_40","F",1
"1_143","0_71","0_40","M",1
"1_144","0_71","0_40","F",1
"1_145","0_73","0_42","M",1
"1_146","0_73","0_42","F",1
"1_147","0_73","0_42","M",1
"1_148","0_73","0_42","M",1
"1_149","0_75","0_72","M",1
"1_150","0_75","0_72","F",1
"1_151","0_75","0_72","M",1
"1_152","0_75","0_72","F",1
"1_153","0_77","0_92","F",1
"1_154","0_77","0_92","F",1
"1_155","0_77","0_92","F",1
"1_156","0_77","0_92","F",1
"1_157","0_79","0_84","M",1
"1_158","0_79","0_84","M",1
"1_159","0_79","0_84","F",1
"1_160","0_79","0_84","F",1
"1_161","0_81","0_26","M",1
"1_162","0_81","0_26","M",1
"1_163","0_81","0_26","F",1
"1_164","0_81","0_26","F",1
"1_165","0_83","0_14","M",1
"1_166","0_83","0_14","F",1
"1_167","0_83","0_14","F",1
"1_168","0_83","0_14","M",1
"1_169","0_85","0_16","M",1
"1_170","0_85","0_16","M",1
"1_171","0_85","0_16","F",1
"1_172","0_85","0_16","F",1
"1_173","0_87","0_68","F",1
"1_174","0_87","0_68","F",1
"1_175","0_87","0_68","M",1
"1_176","0_87","0_68","M",1
"1_177","0_89","0_62","F",1
"1_178","0_89","0_62","M",1
"1_179","0_89","0_62","F",1
"1_180","0_89","0_62","M",1
"1_181","0_91","0_20","M",1
"1_182","0_91","0_20","F",1
"1_183","0_91","0_20","M",1
"1_184","0_91","0_20","M",1
"1_185","0_93","0_54","M",1
"1_186","0_93","0_54","F",1
"1_187","0_93","0_54","F",1
"1_188","0_93","0_54","F",1
"1_189","0_95","0_8","M",1
"1_190","0_95","0_8","M",1
"1_191","0_95","0_8","F",1
"1_192","0_95","0_8","F",1
"1_193","0_97","0_46","F",1
"1_194","0_97","0_46","F",1
"1_195","0_97","0_46","F",1
"1_196","0_97","0_46","M",1
"1_197","0_99","0_78","M",1
"1_198","0_99","0_78","F",1
"1_199","0_99","0_78","F",1
"1_200","0_99","0_78","M",1
"2_1","1_195","1_48","M",2
"2_2","1_195","1_48","F",2
"2_3","1_195","1_48","M",2
"2_4","1_195","1_48","F",2
"2_5","1_4","0_50","M",2
"2_6","1_4","0_50","F",2
"2_7","1_4","0_50","M",2
"2_8","1_4","0_50","F",2
"2_9","1_138","1_123","F",2
"2_10","1_138","1_123","F",2
"2_11","1_138","1_123","M",2
"2_12","1_138","1_123","M",2
"2_13","1_105","1_162","F",2
"2_14","1_105","1_162","M",2
"2_15","1_105","1_162","F",2
"2_16","1_105","1_162","F",2
"2_17","1_69","0_76","F",2
"2_18","1_69","0_76","M",2
"2_19","1_69","0_76","F",2
"2_20","1_69","0_76","F",2
"2_21","1_164","1_125","M",2
"2_22","1_164","1_125","M",2
"2_23","1_164","1_125","M",2
"2_24","1_164","1_125","M",2
"2_25","1_40","1_93","M",2
"2_26","1_40","1_93","M",2
"2_27","1_40","1_93","M",2
"2_28","1_40","1_93","F",2
"2_29","1_97","1_89","F",2
"2_30","1_97","1_89","F",2
"2_31","1_97","1_89","F",2
"2_32","1_97","1_89","F",2
"2_33","1_85","1_158","F",2
"2_34","1_85","1_158","M",2
"2_35","1_85","1_158","F",2
"2_36","1_85","1_158","F",2
"2_37","1_136","1_140","F",2
"2_38","1_136","1_140","M",2
"2_39","1_136","1_140","M",2
"2_40","1_136","1_140","M",2
"2_41","1_167","1_151","M",2
"2_42","1_167","1_151","M",2
"2_43","1_167","1_151","F",2
"2_44","1_167","1_151","M",2
"2_45","1_32","0_78","M",2
"2_46","1_32","0_78","F",2
"2_47","1_32","0_78","F",2
"2_48","1_32","0_78","F",2
"2_49","1_91","0_10","M",2
"2_50","1_91","0_10","M",2
"2_51","1_91","0_10","M",2
"2_52","1_91","0_10","M",2
"2_53","1_144","1_45","M",2
"2_54","1_144","1_45","F",2
"2_55","1_144","1_45","M",2
"2_56","1_144","1_45","F",2
"2_57","1_15","1_68","M",2
"2_58","1_15","1_68","M",2
"2_59","1_15","1_68","M",2
"2_60","1_15","1_68","M",2
"2_61","1_73","0_26","F",2
"2_62","1_73","0_26","F",2
"2_63","1_73","0_26","M",2
"2_64","1_73","0_26","F",2
"2_65","1_11","1_29","M",2
"2_66","1_11","1_29","M",2
"2_67","1_11","1_29","F",2
"2_68","1_11","1_29","M",2
"2_69","1_37","1_38","M",2
"2_70","1_37","1_38","F",2
"2_71","1_37","1_38","F",2
"2_72","1_37","1_38","F",2
"2_73","1_154","0_32","F",2
"2_74","1_154","0_32","F",2
"2_75","1_154","0_32","M",2
"2_76","1_154","0_32","F",2
"2_77","1_51","0_2","M",2
"2_78","1_51","0_2","F",2
"2_79","1_51","0_2","M",2
"2_80","1_51","0_2","M",2
"2_81","1_17","0_100","M",2
"2_82","1_17","0_100","M",2
"2_83","1_17","0_100","F",2
"2_84","1_17","0_100","M",2
"2_85","1_172","1_61","F",2
"2_86","1_172","1_61","M",2
"2_87","1_172","1_61","F",2
"2_88","1_172","1_61","F",2
"2_89","1_66","1_43","M",2
"2_90","1_66","1_43","F",2
"2_91","1_66","1_43","M",2
"2_92","1_66","1_43","M",2
"2_93","1_92","0_30","F",2
"2_94","1_92","0_30","F",2
"2_95","1_92","0_30","F",2
"2_96","1_92","0_30","F",2
"2_97","1_108","0_68","M",2
"2_98","1_108","0_68","M",2
"2_99","1_108","0_68","F",2
"2_100","1_108","0_68","M",2
"2_101","0_99","1_86","F",2
"2_102","0_99","1_86","M",2
"2_103","0_99","1_86","F",2
"2_104","0_99","1_86","M",2
"2_105","0_13","1_145","F",2
"2_106","0_13","1_145","F",2
"2_107","0_13","1_145","M",2
"2_108","0_13","1_145","M",2
"2_109","0_49","1_12","M",2
"2_110","0_49","1_12","M",2
"2_111","0_49","1_12","F",2
"2_112","0_49","1_12","F",2
"2_113","0_15","0_90","F",2
"2_114","0_15","0_90","M",2
"2_115","0_15","0_90","M",2
"2_116","0_15","0_90","F",2
"2_117","0_89","0_54","F",2
"2_118","0_89","0_54","F",2
"2_119","0_89","0_54","F",2
"2_120","0_89","0_54","M",2
"2_121","0_79","0_20","F",2
"2_122","0_79","0_20","M",2
"2_123","0_79","0_20","M",2
"2_124","0_79","0_20","M",2
"2_125","0_19","1_100","F",2
"2_126","0_19","1_100","F",2
"2_127","0_19","1_100","F",2
"2_128","0_19","1_100","F",2
"2_129","0_85","0_22","F",2
"2_130","0_85","0_22","F",2
"2_131","0_85","0_22","F",2
"2_132","0_85","0_22","M",2
"2_133","0_71","0_16","M",2
"2_134","0_71","0_16","M",2
"2_135","0_71","0_16","F",2
"2_136","0_71","0_16","F",2
"2_137","0_69","1_189","M",2
"2_138","0_69","1_189","F",2
"2_139","0_69","1_189","M",2
"2_140","0_69","1_189","F",2
"2_141","0_35","0_74","M",2
"2_142","0_35","0_74","F",2
"2_143","0_35","0_74","F",2
"2_144","0_35","0_74","M",2
"2_145","0_29","1_82","F",2
"2_146","0_29","1_82","F",2
"2_147","0_29","1_82","M",2
"2_148","0_29","1_82","F",2
"2_149","0_37","0_62","M",2
"2_150","0_37","0_62","M",2
"2_151","0_37","0_62","M",2
"2_152","0_37","0_62","F",2
"2_153","0_17","1_196","M",2
"2_154","0_17","1_196","F",2
"2_155","0_17","1_196","F",2
"2_156","0_17","1_196","F",2
"2_157","0_5","0_84","M",2
"2_158","0_5","0_84","M",2
"2_159","0_5","0_84","M",2
"2_160","0_5","0_84","F",2
"2_161","0_59","1_133","M",2
"2_162","0_59","1_133","F",2
"2_163","0_59","1_133","F",2
"2_164","0_59","1_133","M",2
"2_165","0_51","0_34","M",2
"2_166","0_51","0_34","F",2
"2_167","0_51","0_34","F",2
"2_168","0_51","0_34","M",2
"2_169","0_93","0_60","M",2
"2_170","0_93","0_60","F",2
"2_171","0_93","0_60","F",2
"2_172","0_93","0_60","F",2
"2_173","0_83","1_28","M",2
"2_174","0_83","1_28","M",2
"2_175","0_83","1_28","M",2
"2_176","0_83","1_28","F",2
"2_177","0_77","0_40","F",2
"2_178","0_77","0_40","M",2
"2_179","0_77","0_40","F",2
"2_180","0_77","0_40","M",2
"2_181","0_23","0_72","F",2
"2_182","0_23","0_72","M",2
"2_183","0_23","0_72","M",2
"2_184","0_23","0_72","M",2
"2_185","0_97","0_88","F",2
"2_186","0_97","0_88","F",2
"2_187","0_97","0_88","F",2
"2_188","0_97","0_88","F",2
"2_189","0_87","1_127","F",2
"2_190","0_87","1_127","M",2
"2_191","0_87","1_127","M",2
"2_192","0_87","1_127","F",2
"2_193","0_75","0_92","M",2
"2_194","0_75","0_92","F",2
"2_195","0_75","0_92","M",2
"2_196","0_75","0_92","M",2
"2_197","0_73","0_80","M",2
"2_198","0_73","0_80","F",2
"2_199","0_73","0_80","M",2
"2_200","0_73","0_80","M",2
"3_1","2_116","2_137","M",3
"3_2","2_116","2_137","F",3
"3_3","2_116","2_137","F",3
"3_4","2_116","2_137","F",3
"3_5","2_192","0_40","F",3
"3_6","2_192","0_40","M",3
"3_7","2_192","0_40","F",3
"3_8","2_192","0_40","F",3
"3_9","2_160","2_3","F",3
"3_10","2_160","2_3","M",3
"3_11","2_160","2_3","M",3
"3_12","2_160","2_3","F",3
"3_13","2_162","2_183","M",3
"3_14","2_162","2_183","F",3
"3_15","2_162","2_183","F",3
"3_16","2_162","2_183","M",3
"3_17","2_48","0_10","F",3
"3_18","2_48","0_10","M",3
"3_19","2_48","0_10","F",3
"3_20","2_48","0_10","F",3
"3_21","2_145","2_11","F",3
"3_22","2_145","2_11","F",3
"3_23","2_145","2_11","M",3
"3_24","2_145","2_11","F",3
"3_25","2_198","1_89","F",3
"3_26","2_198","1_89","M",3
"3_27","2_198","1_89","F",3
"3_28","2_198","1_89","M",3
"3_29","2_112","2_102","M",3
"3_30","2_112","2_102","M",3
"3_31","2_112","2_102","F",3
"3_32","2_112","2_102","F",3
"3_33","2_143","2_100","M",3
"3_34","2_143","2_100","M",3
"3_35","2_143","2_100","F",3
"3_36","2_143","2_100","M",3
"3_37","2_148","2_139","M",3
"3_38","2_148","2_139","M",3
"3_39","2_148","2_139","M",3
"3_40","2_148","2_139","M",3
"3_41","2_35","0_76","F",3
"3_42","2_35","0_76","F",3
"3_43","2_35","0_76","M",3
"3_44","2_35","0_76","F",3
"3_45","2_43","2_92","F",3
"3_46","2_43","2_92","F",3
"3_47","2_43","2_92","F",3
"3_48","2_43","2_92","M",3
"3_49","2_119","2_120","F",3
"3_50","2_119","2_120","F",3
"3_51","2_119","2_120","F",3
"3_52","2_119","2_120","M",3
"3_53","2_140","2_53","F",3
"3_54","2_140","2_53","M",3
"3_55","2_140","2_53","F",3
"3_56","2_140","2_53","M",3
"3_57","2_170","2_180","F",3
"3_58","2_170","2_180","F",3
"3_59","2_170","2_180","F",3
"3_60","2_170","2_180","M",3
"3_61","2_70","2_80","F",3
"3_62","2_70","2_80","F",3
"3_63","2_70","2_80","M",3
"3_64","2_70","2_80","M",3
"3_65","2_16","0_60","M",3
"3_66","2_16","0_60","F",3
"3_67","2_16","0_60","M",3
"3_68","2_16","0_60","F",3
"3_69","2_118","0_78","F",3
"3_70","2_118","0_78","M",3
"3_71","2_118","0_78","F",3
"3_72","2_118","0_78","M",3
"3_73","2_74","0_2","F",3
"3_74","2_74","0_2","F",3
"3_75","2_74","0_2","F",3
"3_76","2_74","0_2","M",3
"3_77","2_194","1_38","F",3
"3_78","2_194","1_38","M",3
"3_79","2_194","1_38","F",3
"3_80","2_194","1_38","F",3
"3_81","2_17","1_162","F",3
"3_82","2_17","1_162","F",3
"3_83","2_17","1_162","F",3
"3_84","2_17","1_162","M",3
"3_85","2_36","1_28","F",3
"3_86","2_36","1_28","F",3
"3_87","2_36","1_28","F",3
"3_88","2_36","1_28","F",3
"3_89","2_130","2_24","M",3
"3_90","2_130","2_24","F",3
"3_91","2_130","2_24","F",3
"3_92","2_130","2_24","M",3
"3_93","2_6","2_12","M",3
"3_94","2_6","2_12","M",3
"3_95","2_6","2_12","M",3
"3_96","2_6","2_12","F",3
"3_97","2_142","2_51","M",3
"3_98","2_142","2_51","M",3
"3_99","2_142","2_51","M",3
"3_100","2_142","2_51","F",3
"3_101","1_40","1_82","F",3
"3_102","1_40","1_82","F",3
"3_103","1_40","1_82","F",3
"3_104","1_40","1_82","F",3
"3_105","0_79","1_45","F",3
"3_106","0_79","1_45","M",3
"3_107","0_79","1_45","M",3
"3_108","0_79","1_45","M",3
"3_109","0_73","0_16","M",3
"3_110","0_73","0_16","F",3
"3_111","0_73","0_16","M",3
"3_112","0_73","0_16","M",3
"3_113","0_93","2_23","F",3
"3_114","0_93","2_23","M",3
"3_115","0_93","2_23","M",3
"3_116","0_93","2_23","M",3
"3_117","1_15","1_86","F",3
"3_118","1_15","1_86","M",3
"3_119","1_15","1_86","M",3
"3_120","1_15","1_86","F",3
"3_121","1_37","2_153","M",3
"3_122","1_37","2_153","M",3
"3_123","1_37","2_153","M",3
"3_124","1_37","2_153","F",3
"3_125","1_195","1_48","M",3
"3_126","1_195","1_48","M",3
"3_127","1_195","1_48","M",3
"3_128","1_195","1_48","F",3
"3_129","0_29","1_29","M",3
"3_130","0_29","1_29","M",3
"3_131","0_29","1_29","M",3
"3_132","0_29","1_29","F",3
"3_133","1_167","1_100","F",3
"3_134","1_167","1_100","F",3
"3_135","1_167","1_100","M",3
"3_136","1_167","1_100","M",3
"3_137","0_75","1_140","M",3
"3_138","0_75","1_140","F",3
"3_139","0_75","1_140","M",3
"3_140","0_75","1_140","M",3
"3_141","0_5","1_189","F",3
"3_142","0_5","1_189","M",3
"3_143","0_5","1_189","M",3
"3_144","0_5","1_189","M",3
"3_145","1_144","0_68","F",3
"3_146","1_144","0_68","F",3
"3_147","1_144","0_68","M",3
"3_148","1_144","0_68","M",3
"3_149","0_89","2_199","F",3
"3_150","0_89","2_199","F",3
"3_151","0_89","2_199","M",3
"3_152","0_89","2_199","F",3
"3_153","0_99","2_52","M",3
"3_154","0_99","2_52","F",3
"3_155","0_99","2_52","M",3
"3_156","0_99","2_52","M",3
"3_157","1_91","2_68","M",3
"3_158","1_91","2_68","F",3
"3_159","1_91","2_68","F",3
"3_160","1_91","2_68","F",3
"3_161","1_105","0_100","F",3
"3_162","1_105","0_100","M",3
"3_163","1_105","0_100","M",3
"3_164","1_105","0_100","F",3
"3_165","1_154","1_12","F",3
"3_166","1_154","1_12","M",3
"3_167","1_154","1_12","M",3
"3_168","1_154","1_12","F",3
"3_169","1_172","2_133","M",3
"3_170","1_172","2_133","M",3
"3_171","1_172","2_133","M",3
"3_172","1_172","2_133","M",3
"3_173","0_51","2_44","F",3
"3_174","0_51","2_44","F",3
"3_175","0_51","2_44","F",3
"3_176","0_51","2_44","M",3
"3_177","0_13","2_84","M",3
"3_178","0_13","2_84","M",3
"3_179","0_13","2_84","F",3
"3_180","0_13","2_84","M",3
"3_181","1_11","0_88","F",3
"3_182","1_11","0_88","F",3
"3_183","1_11","0_88","F",3
"3_184","1_11","0_88","F",3
"3_185","1_164","2_123","M",3
"3_186","1_164","2_123","M",3
"3_187","1_164","2_123","M",3
"3_188","1_164","2_123","M",3
"3_189","0_83","2_22","F",3
"3_190","0_83","2_22","F",3
"3_191","0_83","2_22","M",3
"3_192","0_83","2_22","M",3
"3_193","0_23","1_145","F",3
"3_194","0_23","1_145","M",3
"3_195","0_23","1_145","M",3
"3_196","0_23","1_145","F",3
"3_197","0_15","1_158","M",3
"3_198","0_15","1_158","M",3
"3_199","0_15","1_158","M",3
"3_200","0_15","1_158","F",3
"4_1","3_8","0_88","M",4
"4_2","3_8","0_88","M",4
"4_3","3_8","0_88","F",4
"4_4","3_8","0_88","M",4
"4_5","3_160","1_28","F",4
"4_6","3_160","1_28","F",4
"4_7","3_160","1_28","M",4
"4_8","3_160","1_28","M",4
"4_9","3_91","0_100","M",4
"4_10","3_91","0_100","M",4
"4_11","3_91","0_100","M",4
"4_12","3_91","0_100","M",4
"4_13","3_183","3_54","F",4
"4_14","3_183","3_54","M",4
"4_15","3_183","3_54","F",4
"4_16","3_183","3_54","F",4
"4_17","3_193","3_194","F",4
"4_18","3_193","3_194","F",4
"4_19","3_193","3_194","M",4
"4_20","3_193","3_194","F",4
"4_21","3_42","2_133","M",4
"4_22","3_42","2_133","M",4
"4_23","3_42","2_133","F",4
"4_24","3_42","2_133","M",4
"4_25","3_41","3_171","F",4
"4_26","3_41","3_171","F",4
"4_27","3_41","3_171","F",4
"4_28","3_41","3_171","F",4
"4_29","3_85","1_45","M",4
"4_30","3_85","1_45","M",4
"4_31","3_85","1_45","M",4
"4_32","3_85","1_45","M",4
"4_33","3_80","1_48","M",4
"4_34","3_80","1_48","M",4
"4_35","3_80","1_48","F",4
"4_36","3_80","1_48","F",4
"4_37","3_53","3_52","F",4
"4_38","3_53","3_52","M",4
"4_39","3_53","3_52","F",4
"4_40","3_53","3_52","M",4
"4_41","3_113","3_197","F",4
"4_42","3_113","3_197","F",4
"4_43","3_113","3_197","M",4
"4_44","3_113","3_197","M",4
"4_45","3_200","3_140","F",4
"4_46","3_200","3_140","F",4
"4_47","3_200","3_140","F",4
"4_48","3_200","3_140","F",4
"4_49","3_22","2_137","M",4
"4_50","3_22","2_137","F",4
"4_51","3_22","2_137","F",4
"4_52","3_22","2_137","F",4
"4_53","3_68","3_98","F",4
"4_54","3_68","3_98","M",4
"4_55","3_68","3_98","F",4
"4_56","3_68","3_98","M",4
"4_57","3_86","3_153","F",4
"4_58","3_86","3_153","F",4
"4_59","3_86","3_153","F",4
"4_60","3_86","3_153","M",4
"4_61","3_138","2_24","F",4
"4_62","3_138","2_24","M",4
"4_63","3_138","2_24","M",4
"4_64","3_138","2_24","M",4
"4_65","3_71","3_131","M",4
"4_66","3_71","3_131","F",4
"4_67","3_71","3_131","M",4
"4_68","3_71","3_131","M",4
"4_69","3_124","3_118","M",4
"4_70","3_124","3_118","M",4
"4_71","3_124","3_118","M",4
"4_72","3_124","3_118","F",4
"4_73","3_132","3_125","M",4
"4_74","3_132","3_125","M",4
"4_75","3_132","3_125","F",4
"4_76","3_132","3_125","F",4
"4_77","3_164","0_40","M",4
"4_78","3_164","0_40","M",4
"4_79","3_164","0_40","M",4
"4_80","3_164","0_40","F",4
"4_81","3_145","2_80","F",4
"4_82","3_145","2_80","M",4
"4_83","3_145","2_80","M",4
"4_84","3_145","2_80","M",4
"4_85","3_45","3_198","M",4
"4_86","3_45","3_198","F",4
"4_87","3_45","3_198","F",4
"4_88","3_45","3_198","M",4
"4_89","3_81","1_12","F",4
"4_90","3_81","1_12","M",4
"4_91","3_81","1_12","F",4
"4_92","3_81","1_12","M",4
"4_93","3_141","3_33","F",4
"4_94","3_141","3_33","F",4
"4_95","3_141","3_33","F",4
"4_96","3_141","3_33","F",4
"4_97","3_149","3_115","F",4
"4_98","3_149","3_115","M",4
"4_99","3_149","3_115","F",4
"4_100","3_149","3_115","F",4
"4_101","2_16","0_10","M",4
"4_102","2_16","0_10","F",4
"4_103","2_16","0_10","F",4
"4_104","2_16","0_10","M",4
"4_105","2_130","3_97","F",4
"4_106","2_130","3_97","F",4
"4_107","2_130","3_97","M",4
"4_108","2_130","3_97","F",4
"4_109","2_116","1_82","M",4
"4_110","2_116","1_82","M",4
"4_111","2_116","1_82","M",4
"4_112","2_116","1_82","M",4
"4_113","2_140","1_189","F",4
"4_114","2_140","1_189","M",4
"4_115","2_140","1_189","F",4
"4_116","2_140","1_189","F",4
"4_117","2_198","2_11","M",4
"4_118","2_198","2_11","F",4
"4_119","2_198","2_11","M",4
"4_120","2_198","2_11","M",4
"4_121","0_5","3_191","M",4
"4_122","0_5","3_191","M",4
"4_123","0_5","3_191","M",4
"4_124","0_5","3_191","F",4
"4_125","0_15","2_44","F",4
"4_126","0_15","2_44","M",4
"4_127","0_15","2_44","F",4
