id,mother,father
1164,478,485
1281,611,1025
591,513,NA
669,42,NA
767,1,NA
705,426,NA
729,398,NA
986,726,475
723,229,NA
852,357,NA
819,519,NA
847,11,NA
508,1062,NA
780,218,NA
1230,756,45
904,352,458
785,1167,NA
1106,322,45
931,917,440
971,916,18
924,453,85
969,483,NA
1060,455,393
546,995,19
1223,369,NA
1171,150,NA
941,1170,412
501,338,NA
686,1023,45
921,297,NA
1149,815,412
929,748,58
806,12,NA
1215,395,NA
1069,435,1216
840,318,511
755,476,NA
1218,249,NA
694,999,NA
1016,75,NA
1105,1187,NA
834,1169,NA
1100,220,NA
1147,878,23
1095,1158,4
651,1157,NA
1001,1163,NA
613,384,511
716,96,NA
774,9,NA
592,513,NA
987,726,703
972,722,451
1292,831,NA
1121,78,31
602,1119,NA
848,11,511
1038,276,NA
1134,314,1214
547,995,NA
747,624,NA
1172,1246,NA
817,77,NA
684,1023,NA
1012,593,85
1289,937,421
835,318,NA
751,476,NA
1239,30,NA
822,1002,NA
1102,1187,NA
833,1169,NA
886,1205,NA
1208,80,NA
1308,52,NA
648,345,NA
797,3,458
1092,799,NA
896,798,NA
1093,1158,NA
609,384,NA
1280,611,NA
880,515,NA
589,513,NA
725,398,NA
829,317,NA
1300,1120,NA
818,519,NA
935,518,NA
1138,788,NA
1017,1036,NA
900,352,NA
732,901,NA
1135,786,NA
930,917,NA
1165,27,NA
544,995,NA
778,32,NA
517,959,NA
940,1170,NA
484,379,NA
498,338,NA
1206,816,NA
801,12,475
1125,804,NA
658,1013,NA
1244,62,NA
1122,838,1216
543,754,NA
693,999,NA
1014,75,NA
1309,52,NA
653,649,NA
522,607,NA
875,382,NA
1094,1158,NA
841,737,NA
1152,56,NA
1159,1153,NA
1160,478,58
1000,1163,NA
856,612,NA
769,773,NA
985,726,NA
1273,721,1216
820,851,475
1291,831,NA
1118,78,NA
1301,1120,NA
1139,788,NA
983,1156,1216
826,1037,NA
1018,1036,NA
1270,65,393
619,1271,NA
783,1167,NA
776,35,NA
874,549,NA
1132,314,1174
545,995,NA
746,624,NA
1285,689,NA
134,1034,23
103,69,23
126,1207,1288
115,12,NA
124,595,NA
159,937,NA
105,1268,NA
137,1242,NA
132,75,NA
151,80,NA
107,1210,NA
141,1209,NA
120,382,NA
114,3,NA
142,799,NA
123,897,511
149,429,NA
138,1164,NA
157,611,NA
97,513,NA
113,705,NA
130,726,NA
155,721,NA
100,1119,NA
145,819,NA
133,1036,NA
90,508,736
110,901,NA
127,917,NA
117,550,NA
95,29,NA
158,689,NA
131,1223,NA
144,1222,NA
